Nombre del Programa,Nombre de la modalidad/Categoría (si aplica) ,Institución a cargo,Características del apoyo,Entrega del apoyo,Descripción del programa,Dato de contacto para pedir informes[formateado],Dato de contacto para pedir informes,Clasificación por prioridad,Profesionista,Necesidad,Tradicional,Lifestyle,Cultural,Emp Social,Alto impacto,Aún no existe,Start up,Crecimiento,Consolidación
CECATI 157,,Coyoacán,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. DE LAS BOMBAS S/N , CTM CULHUACANC.P. 4840 COYOACANDirector: BERTA EVELIA VEGA MILLANTel: 56 95 50 04correo: cecati157.dir@dgcft.sems.gob.mx","CALZ. DE LAS BOMBAS S/N , CTM CULHUACAN
C.P. 4840 COYOACAN
Director: BERTA EVELIA VEGA MILLAN
Tel: 56 95 50 04
correo: cecati157.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 167,,Coyoacán,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"PERSEO Nº. 139 , PRADO CHURUBUSCOC.P. 4230 COYOACANDirector: ALBERTO MANCERA GUTIÉRREZTel: 56 70 54 23correo: cecati167.dir@dgcft.sems.gob.mx","PERSEO Nº. 139 , PRADO CHURUBUSCO
C.P. 4230 COYOACAN
Director: ALBERTO MANCERA GUTIÉRREZ
Tel: 56 70 54 23
correo: cecati167.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
Bolsa de trabajo,,Iztacalco,Bolsa de trabajo/Empleabilidad,Bolsa de trabajo/Empleabilidad,Vincula a personas desempleadas con empresas con vacantes.," Av. Río Churubusco y Calle Te S/N, Col. Gabriel Ramos Millán, C.P. 08000 México, D.F.Dirección de Desarrollo Sustentable5654-3133 ext. 2505"," Av. Río Churubusco y Calle Te S/N, Col. Gabriel Ramos Millán, C.P. 08000 México, D.F.
Dirección de Desarrollo Sustentable
5654-3133 ext. 2505",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 014,,Iztacalco,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"PLAZA BENITO JUAREZ, ESQ. SUR 157 , GABRIEL RAMOS MILLANC.P. 8020 IZTACALCODirector: JUAN SIMON OCAÑA MONDRAGONTel: 56 49 79 99correo: cecati14.dir@dgcft.sems.gob.mx","PLAZA BENITO JUAREZ, ESQ. SUR 157 , GABRIEL RAMOS MILLAN
C.P. 8020 IZTACALCO
Director: JUAN SIMON OCAÑA MONDRAGON
Tel: 56 49 79 99
correo: cecati14.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 073,,Iztacalco,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"LENGUAS INDIGENAS S/N , LIC. CARLOS ZAPATA VELAC.P. 8040 IZTACALCODirector: MARIA LAURA GOMEZ HERNANDEZTel: 56 50 59 11correo: cecati73.dir@dgcft.sems.gob.mx","LENGUAS INDIGENAS S/N , LIC. CARLOS ZAPATA VELA
C.P. 8040 IZTACALCO
Director: MARIA LAURA GOMEZ HERNANDEZ
Tel: 56 50 59 11
correo: cecati73.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 171,,Iztapalapa,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"LENGUAS INDIGENAS S/N , LIC. CARLOS ZAPATA VELAC.P. 8040 IZTACALCODirector: MARIA LAURA GOMEZ HERNANDEZTel: 56 50 59 11correo: cecati73.dir@dgcft.sems.gob.mx","LENGUAS INDIGENAS S/N , LIC. CARLOS ZAPATA VELA
C.P. 8040 IZTACALCO
Director: MARIA LAURA GOMEZ HERNANDEZ
Tel: 56 50 59 11
correo: cecati73.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 176,,Iztapalapa,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"AV. RAFAEL ATLIXCO S/N , GUADALUPE DEL MORALc.p. 9300 IZTAPALAPADirector: MARTHA LOPEZ ZETINATel: 56 85 08 56correo: cecati176.dir@dgcft.sems.gob.mx","AV. RAFAEL ATLIXCO S/N , GUADALUPE DEL MORAL
c.p. 9300 IZTAPALAPA
Director: MARTHA LOPEZ ZETINA
Tel: 56 85 08 56
correo: cecati176.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 188,,Tláhuac,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. REFORMA AGRARIA S/N , STA. CECILIAC.P. 13010 TLAHUACDirector: FERNANDO PONCE GALICIATel: 58 42 87 91correo: cecati188.dir@dgcft.sems.gob.mx","CALZ. REFORMA AGRARIA S/N , STA. CECILIA
C.P. 13010 TLAHUAC
Director: FERNANDO PONCE GALICIA
Tel: 58 42 87 91
correo: cecati188.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
Incentivos fiscales,Incremento en plantilla laboral,SEDECO,Incentivos fiscales,Subsidio,Otorga incentivos fiscales a empresas que acrediten el crecimiento de su plantilla laboral o a aquellas que inicien operaciones.,Teléfono. 5682 2096 ext. 126 y 318 correo: jessica.rodriguez@sedecodf.gob.mx,"Teléfono. 5682 2096 ext. 126 y 318 
correo: jessica.rodriguez@sedecodf.gob.mx",Contratar personal.,0,0,1,1,1,1,1,0,1,1,1
Incentivos fiscales,Residencia de la planta laboral,SEDECO,Incentivos fiscales,Subsidio,Otorga incentivos fiscales a empresas que contratan trabajadores dentro de su misma demarcación.,Teléfono. 5682 2096 ext. 126 y 318 correo: jessica.rodriguez@sedecodf.gob.mx,"Teléfono. 5682 2096 ext. 126 y 318 
correo: jessica.rodriguez@sedecodf.gob.mx",Contratar personal.,0,0,1,1,1,1,1,0,0,1,1
Subprograma Becas a la Capacitación para el Trabajo (BÉCATE),Capacitación Mixta,STyFE,Vinculación,Vinculación,"Vincula a empresas en busca de personal con personas desempleadas que podrían ocupar las vacantes. Las empresas deben llevar a cabo un curso de capacitación, al final del cual tienen la posibilidad de contratar a los participantes.",Responsable:C. Miguel Ángel Vera Luquín. Teléfono: 57097742,"Responsable:
C. Miguel Ángel Vera Luquín.
 
Teléfono: 57097742",Contratar personal.,0,0,1,0,0,1,1,0,0,1,1
Subprograma Becas a la Capacitación para el Trabajo (BÉCATE),Capacitación en la Práctica Laboral,STyFE,Vinculación,Vinculación,"Vincula a empresas en busca de personal con personas desempleadas que podrían ocupar las vacantes. Las empresas deben llevar a cabo un curso de capacitación, al final del cual tienen la posibilidad de contratar a los participantes.",Responsable:C. Miguel Ángel Vera Luquín. Teléfono: 57097742,"Responsable:
C. Miguel Ángel Vera Luquín.
 
Teléfono: 57097742",Contratar personal.,0,0,1,0,0,1,1,0,0,1,1
Financiamiento para la Asistencia e Integración Social,,SEDESO,"Activo fijo
Capital de trabajo y otros",Subsidio,"Otorga apoyo económico a proyectos presentados por Organizaciones de la Sociedad Civil encaminados a brindar servicios de asistencia social. El apoyo puede destinarse a la compra de mobiliario y/o material necesario, así como al gasto corriente de las operaciones de la organización.","Dirección General del Instituto de Asistencia e Integración Social (IASIS)Domicilio: Xocongo No. 225, 3er. Piso, Col. Tránsito.","Dirección General del Instituto de Asistencia e Integración Social (IASIS)
Domicilio: Xocongo No. 225, 3er. Piso, Col. Tránsito.",Social,0,0,0,0,0,1,0,0,1,1,1
INDESOL,Programa de Coinversión Social,SEDESOL,Subsidio,Subsidio,Otorga apoyo económico a proyectos que busquen mejorar las condiciones de vida de la población en situación de vulnerabilidad social y exclusión.,"(01 55) 5554 0390,ext. 68133, 68137, 68141,68338, 68339, 68370 y 68372Horario de atención9:00 AM a 5:00 PMPágina electrónicawww.indesol.gob.mxDirecciónCalle 2.a Cerrada de BelisarioDomínguez núm. 40,Col. Del Carmen Coyoacán,Del. Coyoacán, CP 04100, México, DF","(01 55) 5554 0390,
ext. 68133, 68137, 68141,
68338, 68339, 68370 y 68372
Horario de atención
9:00 AM a 5:00 PM
Página electrónica
www.indesol.gob.mx
Dirección
Calle 2.a Cerrada de Belisario
Domínguez núm. 40,
Col. Del Carmen Coyoacán,
Del. Coyoacán, CP 04100, México, DF",Social,0,0,0,0,0,1,0,0,0,1,1
Vinculación con Organismos de la Sociedad Civil (OSC),Programa Integral de Desarrollo Rural,Sagarpa,"Activo fijo
Capital de trabajo y otros
Consultoría",Subsidio,"Otorga apoyo económico para proyectos que incidan en el acceso de alimentos en comunidades rurales. El apoyo puede ser destinado a la adquisción de infraestructura y maquinaria, o a la contratación de estudios técnicos u otros trabajos de consultoría. Además, esta modalidad busca crear sinergias entre diferentes Organismos de la Sociedad Civil.","Av. Municipio Libre 377. Col. Santa Cruz Atoyac, Del. Benito Juárez, C.P. 03310, México, D.F.Tel: 3871·1000correo: contacto@sagarpa.gob.mx","Av. Municipio Libre 377. Col. Santa Cruz Atoyac, Del. Benito Juárez, C.P. 03310, México, D.F.
Tel: 3871·1000
correo: contacto@sagarpa.gob.mx",Social,0,0,0,0,0,1,1,0,1,1,1
Imaginación en Movimiento,,Secretaría de Cultura del Distrito Federal,Asesoría/Capacitación,Capacitación,Brinda capacitación a empresas culturales con el fin de consolidar su sustentabilidad. ," Secretaría de Cultura de la Ciudad de MéxicoAv. de la Paz 26, Chimalistac, Álvaro Obregón, México 01070.Tel. 17 19 3000scg_cultura@df.gob.mx // gestion.cultura@outlook.com"," Secretaría de Cultura de la Ciudad de México

Av. de la Paz 26, Chimalistac, Álvaro Obregón, México 01070.
Tel. 17 19 3000
scg_cultura@df.gob.mx // gestion.cultura@outlook.com",Cultural,0,0,0,0,1,0,0,0,0,1,1
Sistema Nacional de Creadores de Arte,,CONACULTA-FONCA,Beca,Subsidio,Otorga apoyo económico para que los artistas cuenten con las condiciones adecuadas para desarrollar sus creaciones. El monto de apoyo va de siete a veinte salarios mínimos.,http://fonca.conaculta.gob.mx/programa/sistema-nacional-de-creadores-de-arte/,http://fonca.conaculta.gob.mx/programa/sistema-nacional-de-creadores-de-arte/,Cultural,0,0,0,1,1,0,0,0,0,1,1
Programa de Fomento a Proyectos y Coinversiones Culturales,,CONACULTA-FONCA,"Subsidio
Capital","Subsidio
Capital","Brinda apoyo en dos modalidades financieras -fomento y coinversión- a las iniciativas presentadas por creadores, intérpretes, investigadores, promotores y educadores para la realización de proyectos integrales que contemplen una salida al público en un plazo máximo de 12 meses.","teléfono: (01 55) 41 55 07 30, extensiones 7010 y 7011correo electrónico: rmondragonl@conaculta.gob.mxhttp://fonca.conaculta.gob.mx/convocatorias/abiertas/","teléfono: (01 55) 41 55 07 30, extensiones 7010 y 7011
correo electrónico: rmondragonl@conaculta.gob.mx

http://fonca.conaculta.gob.mx/convocatorias/abiertas/",Cultural,0,0,0,1,1,0,0,0,1,1,1
Programa de Jóvenes Creadores,,CONACULTA-FONCA,"Asesoría/Capacitación
Beca
Vinculación",Subsidio,"Otorga becas económicas, brinda tutorías con artistas reconocidos y organiza encuentros de jóvenes creadores. ","teléfono: (55) 4155 0730, extensiones 7040, 7039 y 7057correo electrónico: amandrade@conaculta.gob.mx o arodriguezm@conaculta.gob.mx","teléfono: (55) 4155 0730, extensiones 7040, 7039 y 7057
correo electrónico: amandrade@conaculta.gob.mx o arodriguezm@conaculta.gob.mx",Cultural,0,0,0,1,1,0,0,0,1,1,1
Programa de Creadores Escénicos,,CONACULTA-FONCA,Beca,Subsidio,"Otorga apoyo económico a artistas escénicos que  buscan profesinalización, promoción y actualización curricular.","teléfono: (01 55) 4155 0730, extensiones 7084 y 7056correo electrónico: aygarcia@conaculta.gob.mx","teléfono: (01 55) 4155 0730, extensiones 7084 y 7056
correo electrónico: aygarcia@conaculta.gob.mx",Cultural,0,0,0,1,1,0,0,0,1,1,1
Programa México en Escena (Apoyo a Grupos Artísticos Profesionales de Artes Escénicas),,CONACULTA-FONCA,Beca,Subsidio,Otorga apoyo económico a artistas escénicos con el propósito de fomentar la continuidad a mediano y largo plazo de proyectos con calidad.,http://fonca.conaculta.gob.mx/programa/programa-de-apoyo-a-grupos-artisticos-profesionales-de-artes-escenicas-mexico-en-escena/,http://fonca.conaculta.gob.mx/programa/programa-de-apoyo-a-grupos-artisticos-profesionales-de-artes-escenicas-mexico-en-escena/,Cultural,0,0,0,1,1,0,0,0,1,1,1
Programa de Becas para Estudios en el Extranjero,,CONACULTA-FONCA-CONACYT,Beca,Subsidio,"Otorga apoyo económico a estudiantes, creadores e investigadores mexicanos en el campo de las artes y de la cultura para que puedan realizar estudios de posgrado en instituciones extranjeras.",teléfono (55) 41 55 07 30 extensiones 7023 y 7068correo electrónico: kolvera@conaculta.gob.mx o scarranza@conaculta.gob.mx,"teléfono (55) 41 55 07 30 extensiones 7023 y 7068
correo electrónico: kolvera@conaculta.gob.mx o scarranza@conaculta.gob.mx",Cultural,0,0,0,1,1,0,0,1,1,0,0
Programa de Residencias Artísticas,,CONACULTA-FONCA,Otro - Intercambio,Otro,"Ofrece a los artistas un espacio para realizar estancias cortas (cuatro meses máximo) en otros países, a fin de desarrollar un proyecto artístico y enriquecer su experiencia profesional en un ámbito cultural diferente al propio.",http://fonca.conaculta.gob.mx/programa/programas-de-residencia-artistica/,http://fonca.conaculta.gob.mx/programa/programas-de-residencia-artistica/,Cultural,0,0,0,1,1,0,0,1,1,0,0
Programa de Artes Aplicadas,,CONACULTA-FONCA,Beca,Subsidio,"Otorga apoyo económico para apoyar a estudiantes en Artes Aplicadas a realizar una estancia de 10 meses en l'Ecole Nationale Supérieure des Arts Décoratifs (ENSAD) en Paris, Francia.",teléfono (55) 4155 0730 extensiones 7060 y 7068 correo electrónico: jabarca@conaculta.gob.mx o zbotello@conaculta.gob.mx,"teléfono (55) 4155 0730 extensiones 7060 y 7068 
correo electrónico: jabarca@conaculta.gob.mx o zbotello@conaculta.gob.mx",Cultural,0,0,0,1,1,0,0,1,1,0,0
Programa para la promoción internacional de artistas visuales mexicanos,,CONACULTA,Comercialización,Subsidio,"Otorga apoyo económico para apoyar la comercialización de las galerías nacionales de arte. El apoyo puede ser utilizado en: renta de stand, emabalaje y envío de obra, seguro de obra, entre otros.","teléfono: 4155 0730, extensiones 7057 y 7039correo electrónico: sdlimon@conaculta.gob.mx","teléfono: 4155 0730, extensiones 7057 y 7039
correo electrónico: sdlimon@conaculta.gob.mx",Cultural,0,0,0,1,1,0,0,0,1,1,1
Incentivos fiscales,Sustitución de importación de insumos,SEDECO,Incentivos fiscales,Subsidio,Otorga incentivos fiscales a empresas industriales que sustituyan al menos el 50% del valor de materias primas importadas por insumos de producción local.,Teléfono. 5682 2096 ext. 126 y 318 correo: jessica.rodriguez@sedecodf.gob.mx,"Teléfono. 5682 2096 ext. 126 y 318 
correo: jessica.rodriguez@sedecodf.gob.mx",Incrementar la productividad/ Mejorar procesos,0,0,1,0,0,1,1,0,0,1,1
Incentivos fiscales,Incremento en capacidad instalada,SEDECO,Incentivos fiscales,Subsidio,Otorga incentivos fiscales a MiPyMEs industriales.,Teléfono. 5682 2096 ext. 126 y 318 correo: jessica.rodriguez@sedecodf.gob.mx,"Teléfono. 5682 2096 ext. 126 y 318 
correo: jessica.rodriguez@sedecodf.gob.mx",Incrementar la productividad/ Mejorar procesos,0,0,1,0,0,1,1,0,0,1,1
Incentivos fiscales,Adquisición de espacios industriales,SEDECO,Incentivos fiscales,Subsidio,Otorga incentivos fiscales a empresas de industria maquiladora de exportación que adquieran espacios industriales.,Teléfono. 5682 2096 ext. 126 y 318 correo: jessica.rodriguez@sedecodf.gob.mx,"Teléfono. 5682 2096 ext. 126 y 318 
correo: jessica.rodriguez@sedecodf.gob.mx",Incrementar la productividad/ Mejorar procesos,0,0,1,1,1,1,1,0,1,1,1
Fomento al Autoempleo Capacitación y Modernización,,STyFE,Asesoría/Capacitación,Subsidio,Otorga apoyo económico a MiPyMEs para la contratación de capacitaciones y consultorías que permitan la mejora de las condiciones salariales y de seguridad e higiene de los trabajadores.,ResponsableLic. Raúl Lezama PereaInformes alTel. 57 09 77 42,"Responsable
Lic. Raúl Lezama Perea

Informes al
Tel. 57 09 77 42",Incrementar la productividad/ Mejorar procesos,0,0,1,0,0,1,0,0,0,1,1
Fomento al Desarrollo de las Actividades Agropecuarias y Agroindustrias (FAAA),"Programa de Desarrollo Agropecuario y Rural de la Ciudad de México (cultivo y producción agrícola, pecuaria y piscícola)",SEDEREC,Subsidio,Subsidio,Otorga apoyo económico para actividades productivas de la población rural del Distrito Federal. Los beneficiarios pueden decidir el uso que le darán a este apoyo siempre y cuando cuenten con la autorización necesaria.,"Cuajimalpa/Álvaro Obregón/ La Magdalena Contreras:Luis Cabrera No. 1, Col. San Jerónimo Lídice, en Casa Popular, Delegación La Magdalena Contreras, México D.F., Código Postal 10200.Tlalpan: Carretera Federal México-Cuernavaca, km. 36.5, Pueblo de San Miguel Topilejo (Paraje El Crucero), Delegación Tlalpan, México D.F., Código Postal 14900.Milpa Alta/Tláhuac: Prolongación San Francisco s/n, Santa Catarina Yecahuizotl, Delegación Tláhuac, México D.F., Código Postal 13100.Xochimilco:Avenida “Año de Juárez”, número 9700, colonia “Quirino Mendoza”, Delegación Xochimilco, México D.F., Código Postal 16610.","Cuajimalpa/Álvaro Obregón/ La Magdalena Contreras:
Luis Cabrera No. 1, Col. San Jerónimo Lídice, en Casa Popular, Delegación La Magdalena Contreras, México D.F., Código Postal 10200.

Tlalpan: 
Carretera Federal México-Cuernavaca, km. 36.5, Pueblo de San Miguel Topilejo (Paraje El Crucero), Delegación Tlalpan, México D.F., Código Postal 14900.

Milpa Alta/Tláhuac: 
Prolongación San Francisco s/n, Santa Catarina Yecahuizotl, Delegación Tláhuac, México D.F., Código Postal 13100.

Xochimilco:
Avenida “Año de Juárez”, número 9700, colonia “Quirino Mendoza”, Delegación Xochimilco, México D.F., Código Postal 16610.",Incrementar la productividad/ Mejorar procesos,0,1,1,0,0,0,0,1,1,0,0
Fomento al Desarrollo de las Actividades Agropecuarias y Agroindustrias (FAAA),Programa de Desarrollo Agropecuario y Rural de la Ciudad de México (producción de nopal/amaranto),SEDEREC,"Activo fijo
Capital de trabajo y otros",Subsidio,Otorga apoyo económico para actividades productivas de la población rural del Distrito Federal. Las actividades productivas deben estar relacionadas a la producción de nopal y/o amaranto.,"Cuajimalpa/Álvaro Obregón/ La Magdalena Contreras:Luis Cabrera No. 1, Col. San Jerónimo Lídice, en Casa Popular, Delegación La Magdalena Contreras, México D.F., Código Postal 10200.Tlalpan: Carretera Federal México-Cuernavaca, km. 36.5, Pueblo de San Miguel Topilejo (Paraje El Crucero), Delegación Tlalpan, México D.F., Código Postal 14900.Milpa Alta/Tláhuac: Prolongación San Francisco s/n, Santa Catarina Yecahuizotl, Delegación Tláhuac, México D.F., Código Postal 13100.Xochimilco:Avenida “Año de Juárez”, número 9700, colonia “Quirino Mendoza”, Delegación Xochimilco, México D.F., Código Postal 16610.","Cuajimalpa/Álvaro Obregón/ La Magdalena Contreras:
Luis Cabrera No. 1, Col. San Jerónimo Lídice, en Casa Popular, Delegación La Magdalena Contreras, México D.F., Código Postal 10200.

Tlalpan: 
Carretera Federal México-Cuernavaca, km. 36.5, Pueblo de San Miguel Topilejo (Paraje El Crucero), Delegación Tlalpan, México D.F., Código Postal 14900.

Milpa Alta/Tláhuac: 
Prolongación San Francisco s/n, Santa Catarina Yecahuizotl, Delegación Tláhuac, México D.F., Código Postal 13100.

Xochimilco:
Avenida “Año de Juárez”, número 9700, colonia “Quirino Mendoza”, Delegación Xochimilco, México D.F., Código Postal 16610.",Incrementar la productividad/ Mejorar procesos,0,1,1,0,0,0,0,1,1,0,0
Fomento al Desarrollo de las Actividades Agropecuarias y Agroindustrias (FAAA),Programa de Desarrollo Agropecuario y Rural de la Ciudad de México,SEDEREC,"Activo fijo
Capital de trabajo y otros",Subsidio,Otorga apoyo económico para actividades productivas de la población rural del Distrito Federal.,"Cuajimalpa/Álvaro Obregón/ La Magdalena Contreras:Luis Cabrera No. 1, Col. San Jerónimo Lídice, en Casa Popular, Delegación La Magdalena Contreras, México D.F., Código Postal 10200.Tlalpan: Carretera Federal México-Cuernavaca, km. 36.5, Pueblo de San Miguel Topilejo (Paraje El Crucero), Delegación Tlalpan, México D.F., Código Postal 14900.Milpa Alta/Tláhuac: Prolongación San Francisco s/n, Santa Catarina Yecahuizotl, Delegación Tláhuac, México D.F., Código Postal 13100.Xochimilco:Avenida “Año de Juárez”, número 9700, colonia “Quirino Mendoza”, Delegación Xochimilco, México D.F., Código Postal 16610.","Cuajimalpa/Álvaro Obregón/ La Magdalena Contreras:
Luis Cabrera No. 1, Col. San Jerónimo Lídice, en Casa Popular, Delegación La Magdalena Contreras, México D.F., Código Postal 10200.

Tlalpan: 
Carretera Federal México-Cuernavaca, km. 36.5, Pueblo de San Miguel Topilejo (Paraje El Crucero), Delegación Tlalpan, México D.F., Código Postal 14900.

Milpa Alta/Tláhuac: 
Prolongación San Francisco s/n, Santa Catarina Yecahuizotl, Delegación Tláhuac, México D.F., Código Postal 13100.

Xochimilco:
Avenida “Año de Juárez”, número 9700, colonia “Quirino Mendoza”, Delegación Xochimilco, México D.F., Código Postal 16610.",Incrementar la productividad/ Mejorar procesos,0,1,1,0,0,0,0,1,1,0,0
Asesoramiento técnico en procesos productivos o desarrollo de nuevos productos,,PROMÉXICO,"Asesoría/Capacitación
Consultoría",Crédito,Otorga crédito para apoyar la transferencia de conocimiento en temas de productividad.,"ProMéxico: Camino a Santa Teresa No. 1679,  Col. Jardines del Pedregal, Del. Álvaro Obregón,  01900, México  D.F.,  Tel.: 5447 7000, 01 800 EXPORTE (3976783) Sitio web oficial: : http://promexico.gob.mx/","ProMéxico: Camino a Santa Teresa No. 1679,  Col. Jardines del Pedregal, Del. Álvaro Obregón,  01900, México  D.F.,  Tel.: 5447 7000, 01 800 EXPORTE (3976783) Sitio web oficial: : http://promexico.gob.mx/",Incrementar la productividad/ Mejorar procesos,0,0,"1c
1d",0,0,0,1,0,1,1,1
Fondo Nacional para el Fomento a las Artesanías (FONART),,FONART,"Subsidio
Capacitación","Subsidio
Capacitación","Otorga un apoyo económico, así como asistencia técnica a los artesanos para contribuir a la mejora de su producción.","(01 55) 5093 6000, ext. 67506Horario de atención10:00 AM a 8:00 PMPágina electrónicawww.fonart.gob.mx","(01 55) 5093 6000, ext. 67506
Horario de atención
10:00 AM a 8:00 PM
Página electrónica
www.fonart.gob.mx",Incrementar la productividad/ Mejorar procesos,1,1,1,0,0,0,0,0,1,1,0
Programa de Opciones Productivas,,SEDESOL,"Subsidio
Capacitación
Capital","Subsidio
Capacitación
Capital","Otorga apoyo económico, asistencia técnica y/o capital para impulsar el  crecimiento de proyectos productivos.","(01 55) 5141 7900,ext. 54109, 54114, 54118,54122, 54125, 54138 y 54157DirecciónAv. Paseo de la Reforma 51, piso 21,Col. Tabacalera, Del. Cuauhtémoc,CP 06030, México, DFHorario de atención9:00 AM a 7:00 PMCorreos electrónicosquejasop@sedesol.gob.mxdemandasocial@sedesol.gob.mx","(01 55) 5141 7900,
ext. 54109, 54114, 54118,
54122, 54125, 54138 y 54157
Dirección
Av. Paseo de la Reforma 51, piso 21,
Col. Tabacalera, Del. Cuauhtémoc,
CP 06030, México, DF
Horario de atención
9:00 AM a 7:00 PM
Correos electrónicos
quejasop@sedesol.gob.mx
demandasocial@sedesol.gob.mx",Incrementar la productividad/ Mejorar procesos,1,1,1,0,0,0,0,0,1,1,0
Programa de Apoyo para la Productividad,Curso de productividad y empleabilidad,STPS,Asesoría/Capacitación,Subsidio,Otorga apoyo económico a las empresas para que capaciten a sus trabajadores en temas de productividad.,"Oficinas de la Dirección General de Productividad Laboral y Fomento de la Empleabilidad, ubicadas en Reforma No. 93, piso 11, Colonia Tabacalera, México D.F. Teléfono 20005359.productividadlaboral@stps.gob.mx ","Oficinas de la Dirección General de Productividad Laboral y Fomento de la Empleabilidad, ubicadas en Reforma No. 93, 
piso 11, Colonia Tabacalera, México D.F. Teléfono 20005359.
productividadlaboral@stps.gob.mx ",Incrementar la productividad/ Mejorar procesos,0,0,1d,0,0,1,1,0,0,1,1
Programa de Apoyo para la Productividad,Asistencia técnico-legal en materia de productividad,STPS,Consultoría ,Subsidio,Otorga apoyo económico para la contratación de servicios de consultoría en temas de asistencia técnico-legal en materia de productividad.,"Oficinas de la Dirección General de Productividad Laboral y Fomento de la Empleabilidad, ubicadas en Reforma No. 93, piso 11, Colonia Tabacalera, México D.F. Teléfono 20005359.productividadlaboral@stps.gob.mx ","Oficinas de la Dirección General de Productividad Laboral y Fomento de la Empleabilidad, ubicadas en Reforma No. 93, 
piso 11, Colonia Tabacalera, México D.F. Teléfono 20005359.
productividadlaboral@stps.gob.mx ",Incrementar la productividad/ Mejorar procesos,0,0,1d,0,0,1,1,0,0,1,1
Sistema para Declarar las Condiciones de Seguridad y Salud en el Trabajo (DECLARALAB).,,STPS,Vinculación,Vinculación,"Herramienta que pretende que las empresas identifiquen, de acuerdo a sus actividades, las disposiciones de la normatividad aplicable, y al mismo tiempo, definir las
condiciones de seguridad existentes en sus instalaciones.",Datos de contacto: Nombre: Ing. Ana María Maldonado Hernández Cargo: Subdirectora de Asistencia Técnica en Seguridad e Higiene Teléfono: (55) 3000 – 2700 ext. 5337 Correo electrónico: amaldonadoh@stps.gob.mx ,"Datos de contacto: 
Nombre: Ing. Ana María Maldonado Hernández 
Cargo: Subdirectora de Asistencia Técnica en Seguridad e Higiene 
Teléfono: (55) 3000 – 2700 ext. 5337 
Correo electrónico: amaldonadoh@stps.gob.mx ",Incrementar la productividad/ Mejorar procesos,0,0,1d,0,0,0,1,0,0,1,1
Liderazgo Ambiental para la Competitividad,,PROFEPA,Asesoría/Capacitación,Capacitación,"Mediante la aplicación de una metodología, se apoya a las empresas a desarrollar capacidades para generar ahorros económicos en sus procesos de producción al reducir el consumo de agua, energía y materias primas. ",liderazgo@profepa.gob.mx,liderazgo@profepa.gob.mx,Incrementar la productividad/ Mejorar procesos,0,0,1d,0,0,1,1,0,0,1,1
